Countrycode;Namespace;AirQualityNetwork;AirQualityStation;AirQualityStationEoICode;SamplingPoint;SamplingProcess;Sample;AirPollutant;AirPollutantCode;AveragingTime;Concentration;UnitOfMeasurement;DatetimeBegin;DatetimeEnd;Validity;Verification;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS009A;STA-IS0037A;IS0037A;SPO-IS0037A_00038_100;SPP-IS_A_chemi_thermo42i-TL_dal;SPO_F-IS0037A_00038_100_100;H2S;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38;hour;1.6863300000;µg/m3;2022-03-15 19:00:00 +01:00;2022-03-15 20:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS009A;STA-IS0037A;IS0037A;SPO-IS0037A_00038_100;SPP-IS_A_chemi_thermo42i-TL_dal;SPO_F-IS0037A_00038_100_100;H2S;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38;hour;1.6308300000;µg/m3;2022-03-15 20:00:00 +01:00;2022-03-15 21:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS009A;STA-IS0037A;IS0037A;SPO-IS0037A_00038_100;SPP-IS_A_chemi_thermo42i-TL_dal;SPO_F-IS0037A_00038_100_100;H2S;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38;hour;1.5620000000;µg/m3;2022-03-15 21:00:00 +01:00;2022-03-15 22:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS009A;STA-IS0037A;IS0037A;SPO-IS0037A_00038_100;SPP-IS_A_chemi_thermo42i-TL_dal;SPO_F-IS0037A_00038_100_100;H2S;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38;hour;2.0148400000;µg/m3;2022-03-15 22:00:00 +01:00;2022-03-15 23:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS009A;STA-IS0037A;IS0037A;SPO-IS0037A_00038_100;SPP-IS_A_chemi_thermo42i-TL_dal;SPO_F-IS0037A_00038_100_100;H2S;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38;hour;1.5618300000;µg/m3;2022-03-15 23:00:00 +01:00;2022-03-16 00:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS009A;STA-IS0037A;IS0037A;SPO-IS0037A_00038_100;SPP-IS_A_chemi_thermo42i-TL_dal;SPO_F-IS0037A_00038_100_100;H2S;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38;hour;2.0250000000;µg/m3;2022-03-16 00:00:00 +01:00;2022-03-16 01:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS009A;STA-IS0037A;IS0037A;SPO-IS0037A_00038_100;SPP-IS_A_chemi_thermo42i-TL_dal;SPO_F-IS0037A_00038_100_100;H2S;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38;hour;2.1228300000;µg/m3;2022-03-16 01:00:00 +01:00;2022-03-16 02:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS009A;STA-IS0037A;IS0037A;SPO-IS0037A_00038_100;SPP-IS_A_chemi_thermo42i-TL_dal;SPO_F-IS0037A_00038_100_100;H2S;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38;hour;1.5308300000;µg/m3;2022-03-16 02:00:00 +01:00;2022-03-16 03:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS009A;STA-IS0037A;IS0037A;SPO-IS0037A_00038_100;SPP-IS_A_chemi_thermo42i-TL_dal;SPO_F-IS0037A_00038_100_100;H2S;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38;hour;1.6881700000;µg/m3;2022-03-16 03:00:00 +01:00;2022-03-16 04:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS009A;STA-IS0037A;IS0037A;SPO-IS0037A_00038_100;SPP-IS_A_chemi_thermo42i-TL_dal;SPO_F-IS0037A_00038_100_100;H2S;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38;hour;1.8073300000;µg/m3;2022-03-16 04:00:00 +01:00;2022-03-16 05:00:00 +01:00;1;3;;;;;;;
